address,balance
0x44f674a4B47902C05e93265eFE66E4bf0E840B3d, 1000
0x6A6E5C50DbF8C20b9aEAE0D3DBa298E0E4258762, 1000
0x6af4EBa5F8b339512960eBEF11e02815C42B8C00, 1000
0x3C36C8926Edf2004d023484AcC745a63B6163923, 1000
0x43fE72F3ceA0359E85958c0D637d2FF4993d71C3, 1000
0xde44c6817873547222a7a4acea2b3A41D7e193a8, 1000
0x187cbD4A566CEFa07Dfcf8cC9B8D470C3E6ea944, 1000
0x555a73D85ED1Ce9Fe7D194e574A17771013CE9c3, 1000
0x7f1cB0FB25Bb15334B6a8Dae71D0ceC7643Df70F, 1000
0x292f04a44506c2fd49Bac032E1ca148C35A478c8, 1000
